City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Cururupu,BR,-1.8283,-44.8683,87.67,57,1,4.97,clear sky
Raudeberg,NO,61.9875,5.1352,73.0,63,11,4.18,few clouds
Bay Roberts,CA,47.5999,-53.2648,71.35,98,100,18.16,light rain
Anadyr,RU,64.75,177.4833,30.7,68,0,1.72,clear sky
Luau,AO,-10.7073,22.2247,84.38,20,87,2.26,overcast clouds
Tomohon,ID,1.3346,124.8392,68.94,93,94,2.91,overcast clouds
Viedma,AR,-40.8135,-62.9967,61.48,57,100,20.56,overcast clouds
Oksfjord,NO,70.2396,22.3479,60.87,83,95,4.72,overcast clouds
Rhyl,GB,53.3196,-3.4886,78.12,57,93,10.8,overcast clouds
Fort Nelson,CA,58.8053,-122.7002,60.37,59,100,3.56,overcast clouds
Lucapa,AO,-8.4192,20.7447,87.91,16,80,2.37,broken clouds
Half Moon Bay,US,37.4636,-122.4286,63.75,87,90,11.5,fog
Hambantota,LK,6.1241,81.1185,81.84,75,76,18.86,broken clouds
Tuatapere,NZ,-46.1333,167.6833,49.82,87,99,5.59,overcast clouds
Auki,SB,-8.7676,160.7034,77.94,89,100,3.02,overcast clouds
Traverse City,US,44.7631,-85.6206,65.14,55,1,4.61,clear sky
Takoradi,GH,4.8845,-1.7554,84.72,66,99,10.6,overcast clouds
Yulara,AU,-25.2406,130.9889,62.44,55,75,9.22,broken clouds
Neryungri,RU,56.6709,124.6491,53.53,63,82,3.56,broken clouds
Namtsy,RU,62.7161,129.6658,50.11,77,11,3.98,few clouds
Jinji,CN,23.2281,110.8261,78.12,97,99,3.47,overcast clouds
Ahipara,NZ,-35.1667,173.1667,56.25,82,27,5.19,scattered clouds
San Juan,AR,-31.5375,-68.5364,73.72,31,84,3.44,broken clouds
Playas,EC,-2.6333,-80.3833,73.08,82,94,7.09,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,82.96,67,75,2.3,broken clouds
Ilorin,NG,8.5,4.55,88.16,62,20,6.91,few clouds
Presidente Dutra,BR,-5.29,-44.49,86.61,50,12,4.61,few clouds
Fairbanks,US,64.8378,-147.7164,55.09,87,90,6.91,light rain
Tessalit,ML,20.1986,1.0114,109.35,4,2,6.8,clear sky
Abong Mbang,CM,3.9833,13.1833,77.85,88,89,3.15,moderate rain
Iqaluit,CA,63.7506,-68.5145,31.73,100,90,10.0,light snow
Gorontalo,ID,0.5412,123.0595,76.28,94,100,3.56,overcast clouds
Maragogi,BR,-9.0122,-35.2225,81.82,65,63,9.26,broken clouds
Nabire,ID,-3.3667,135.4833,78.39,91,100,3.24,overcast clouds
Itamarandiba,BR,-17.8572,-42.8589,77.74,51,16,3.58,few clouds
Bilma,NE,18.6853,12.9164,109.94,5,96,14.34,overcast clouds
Chara,RU,56.9064,118.2631,52.3,61,93,6.69,overcast clouds
Methven,NZ,-43.6333,171.65,38.91,80,10,5.26,clear sky
Kilindoni,TZ,-7.9139,39.6668,78.85,73,72,9.44,light rain
Tucuman,AR,-26.8241,-65.2226,66.2,55,0,1.52,clear sky
Karlstad,SE,59.3793,13.5036,70.36,35,0,9.64,clear sky
Ballina,AU,-28.8667,153.5667,55.94,94,42,0.0,scattered clouds
Vao,NC,-22.6667,167.4833,69.44,57,100,13.04,overcast clouds
Coihaique,CL,-45.5752,-72.0662,44.55,65,40,8.05,scattered clouds
Torbat-E Jam,IR,35.244,60.6225,96.84,11,3,13.18,clear sky
Mporokoso,ZM,-9.3727,30.125,79.97,31,17,4.5,few clouds
Port Keats,AU,-14.25,129.55,74.23,70,100,0.96,overcast clouds
Kuryk,KZ,43.2,51.65,81.41,39,0,6.98,clear sky
Roald,NO,62.5833,6.1333,80.17,77,12,4.61,fog
Matelandia,BR,-25.2408,-53.9964,75.31,53,0,3.58,clear sky
Wasilla,US,61.5814,-149.4394,53.15,78,90,4.61,light rain
Aquiraz,BR,-3.9014,-38.3911,88.21,50,23,12.21,few clouds
Ciudad Bolivar,VE,8.1222,-63.5497,84.74,62,78,11.3,broken clouds
Koryazhma,RU,61.3143,47.1691,53.37,68,100,7.83,overcast clouds
Severo-Yeniseyskiy,RU,60.3725,93.0408,57.97,45,100,7.29,overcast clouds
Lichinga,MZ,-13.3128,35.2406,69.89,68,75,4.61,light rain
Lindi,TZ,-10.0,39.7167,75.16,84,100,2.19,overcast clouds
Kirksville,US,40.1948,-92.5833,60.89,88,90,3.29,overcast clouds
Bow Island,CA,49.8668,-111.3684,60.62,50,99,7.36,overcast clouds
Batagay-Alyta,RU,67.8006,130.4114,50.67,59,5,4.23,clear sky
Sovetskiy,RU,61.3614,63.5842,59.97,33,94,9.6,overcast clouds
Tanete,ID,-3.9443,119.7848,74.82,93,35,4.32,scattered clouds
Ketchikan,US,55.3422,-131.6461,53.58,100,90,10.36,moderate rain
Kirakira,SB,-10.4544,161.9205,78.82,89,91,9.01,moderate rain
Tazmalt,DZ,36.3868,4.3989,73.71,76,100,5.66,overcast clouds
Ouegoa,NC,-20.35,164.4333,69.46,66,59,8.5,broken clouds
Champerico,GT,14.3,-91.9167,89.73,76,93,6.98,overcast clouds
San Francisco,US,37.7749,-122.4194,65.14,91,40,1.99,scattered clouds
Isangel,VU,-19.55,169.2667,70.9,68,56,9.71,broken clouds
Santa Cruz,BO,-17.8,-63.1667,74.66,64,75,4.61,broken clouds
Buraydah,SA,26.326,43.975,108.05,7,0,3.04,clear sky
Srednekolymsk,RU,67.45,153.6833,55.02,39,76,0.45,broken clouds
Pomabamba,PE,-8.8333,-77.4667,54.37,68,95,3.65,overcast clouds
Jiuquan,CN,39.7432,98.5174,71.73,10,98,12.46,overcast clouds
Benavente,ES,42.0025,-5.6783,77.97,32,56,19.6,broken clouds
Loukhi,RU,66.0764,33.0381,56.61,53,93,8.84,overcast clouds
Puerto Escondido,MX,15.85,-97.0667,77.83,83,75,9.22,broken clouds
Jiwani,PK,25.05,61.7417,88.97,75,0,12.08,clear sky
Wukari,NG,7.85,9.7833,82.18,68,100,5.32,overcast clouds
Honiara,SB,-9.4333,159.95,78.67,90,92,4.54,overcast clouds
Vysokogornyy,RU,50.1167,139.15,45.9,82,46,2.24,scattered clouds
Labuhan,ID,-6.8844,112.2051,79.92,84,14,6.73,few clouds
Shizuishan,CN,39.2333,106.7694,70.95,9,1,13.02,clear sky
Amarante Do Maranhao,BR,-5.5667,-46.7422,86.18,48,6,5.59,clear sky
Cap Malheureux,MU,-19.9842,57.6142,70.29,83,99,14.56,light rain
Meulaboh,ID,4.1363,96.1285,79.12,87,100,3.42,overcast clouds
Kahului,US,20.8947,-156.47,77.85,81,1,0.0,clear sky
Yantal,RU,56.8471,105.2542,55.63,57,62,3.71,broken clouds
Aleksandrov Gay,RU,50.147,48.5704,80.29,51,38,12.01,scattered clouds
Katherine,AU,-14.4667,132.2667,80.92,61,90,9.73,overcast clouds
Hami,CN,42.8,93.45,84.88,9,60,8.7,broken clouds
Lazaro Cardenas,MX,17.9583,-102.2,83.12,68,79,1.07,broken clouds
Fengcheng,CN,40.4536,124.0717,58.75,98,97,2.15,overcast clouds
Morlaix,FR,48.5833,-4.0,82.56,47,0,7.7,clear sky
Portland,US,45.5234,-122.6762,69.04,71,20,1.99,few clouds
San Jose,US,37.3394,-121.895,65.5,81,40,3.44,scattered clouds
Watertown,US,42.3709,-71.1828,71.31,59,1,3.0,clear sky
Baruun-Urt,MN,46.6806,113.2792,45.84,39,55,8.66,broken clouds
Porto Nacional,BR,-10.7081,-48.4172,84.2,30,7,4.43,clear sky
Mount Gambier,AU,-37.8333,140.7667,49.91,66,94,6.91,overcast clouds
Podgornoye,RU,51.735,39.1496,53.82,71,90,9.93,light rain
Ramsar,IR,36.9226,50.6426,78.24,73,20,13.8,few clouds
Sept-Iles,CA,50.2001,-66.3821,49.24,86,75,5.01,fog
Maxixe,MZ,-23.8597,35.3472,76.82,78,40,9.22,light rain
Manadhoo,MV,5.7667,73.3833,83.3,70,100,16.84,overcast clouds
Deniliquin,AU,-35.5333,144.9667,48.0,75,31,6.8,scattered clouds
Sao Miguel,BR,-5.4667,-35.3667,86.32,58,10,15.48,clear sky
Millau,FR,44.0833,2.9167,66.33,72,100,14.23,overcast clouds
Tirur,IN,10.9,75.9167,81.59,86,100,4.92,overcast clouds
Aksay,RU,47.26,39.87,70.02,93,72,7.0,broken clouds
Hungund,IN,16.0667,76.05,90.01,47,100,14.85,overcast clouds
Suntar,RU,62.1444,117.6319,58.51,66,100,6.17,overcast clouds
Nichinan,JP,31.6,131.3667,68.34,87,37,5.48,scattered clouds
Jacareacanga,BR,-6.2222,-57.7528,88.11,62,0,4.61,clear sky
Melilla,ES,35.2937,-2.9383,75.4,56,0,13.8,clear sky
Bandarbeyla,SO,9.4942,50.8122,82.38,71,80,29.77,broken clouds
Harper,LR,4.375,-7.7169,82.02,77,100,6.85,light rain
Nizhnyaya Poyma,RU,56.1622,97.1933,54.5,70,0,4.92,clear sky
Cedar City,US,37.6775,-113.0619,70.39,23,1,0.0,clear sky
Hobyo,SO,5.3505,48.5268,81.72,69,95,22.21,overcast clouds
Vardo,NO,70.3705,31.1107,53.8,76,75,16.11,broken clouds
Bemidji,US,47.4736,-94.8803,66.56,63,1,5.75,clear sky
Zvishavane,ZW,-20.3267,30.0665,80.96,17,0,3.38,clear sky
Nova Vicosa,BR,-17.8919,-39.3719,80.26,62,52,2.73,broken clouds
Klaksvik,FO,62.2266,-6.589,49.12,82,100,26.66,overcast clouds
Ulladulla,AU,-35.35,150.4667,55.87,63,100,4.14,overcast clouds
Katobu,ID,-4.9408,122.5276,75.15,91,49,4.85,scattered clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,60,10,16.28,clear sky
Plymouth,US,41.8334,-70.8328,69.53,63,1,7.18,clear sky
Canico,PT,32.6333,-16.85,71.13,84,75,2.93,broken clouds
Vitim,RU,59.4511,112.5578,57.47,52,42,3.51,scattered clouds
Karratha,AU,-20.7377,116.8463,74.7,34,88,10.2,overcast clouds
Port Blair,IN,11.6667,92.75,83.95,75,21,4.74,few clouds
Muroto,JP,33.2833,134.15,69.31,85,62,7.18,broken clouds
Baiyin,CN,36.5583,104.2081,70.68,11,100,13.06,overcast clouds
Kautokeino,NO,69.0125,23.0412,62.31,40,0,6.71,clear sky
Kloulklubed,PW,7.0419,134.2556,79.3,79,49,9.22,scattered clouds
Vestmannaeyjar,IS,63.4427,-20.2734,47.39,76,40,13.8,scattered clouds
Bud,US,39.447,-86.1758,66.85,74,100,2.51,overcast clouds
Gushikawa,JP,26.3544,127.8686,76.23,91,75,14.47,broken clouds
Bukachacha,RU,52.9833,116.9167,45.86,98,100,2.53,light rain
Kushiro,JP,42.975,144.3747,45.09,90,91,1.77,overcast clouds
Huaral,PE,-11.495,-77.2078,62.53,77,100,4.14,overcast clouds
Mizdah,LY,31.4451,12.9801,94.28,17,81,10.29,broken clouds
Alyangula,AU,-13.8483,136.4192,78.67,73,90,10.51,overcast clouds
Camocim,BR,-2.9022,-40.8411,86.65,58,6,6.96,clear sky
Fare,PF,-16.7,-151.0167,78.55,73,99,16.02,overcast clouds
Kabarnet,KE,0.4919,35.743,73.31,40,56,2.17,broken clouds
Zaterechnyy,RU,44.7931,45.2097,83.97,35,14,17.25,few clouds
Gambela,ET,8.25,34.5833,77.22,82,91,9.95,moderate rain
Yuanping,CN,38.7153,112.7575,67.42,41,99,5.53,overcast clouds
Santa Maria,BR,-29.6842,-53.8069,62.83,49,0,3.62,clear sky
Agartala,IN,23.8364,91.275,77.7,94,100,6.02,light rain
Namatanai,PG,-3.6667,152.4333,77.52,90,100,4.97,light rain
Fort-Shevchenko,KZ,44.5086,50.263,76.06,59,5,10.29,clear sky
Tsalenjikha,GE,42.6044,42.0682,70.02,81,85,6.24,light rain
Ternate,ID,0.8,127.4,82.0,78,100,6.08,overcast clouds
Zyryanka,RU,65.75,150.85,51.06,42,13,5.84,few clouds
Parabel,RU,58.6978,81.4825,47.97,89,100,9.24,overcast clouds
Morro Bay,US,35.3658,-120.8499,62.15,84,10,3.2,clear sky
Yanaul,RU,56.2719,54.9309,58.73,66,96,10.11,overcast clouds
Kawasaki,JP,35.5206,139.7172,72.01,80,75,1.99,broken clouds
Pedro Ii,BR,-4.4247,-41.4586,85.32,43,4,4.7,clear sky
Saint-Francois,FR,46.4154,3.9054,81.68,45,0,11.5,clear sky
Dalbandin,PK,28.8947,64.4101,103.68,3,0,5.55,clear sky
Chateaubelair,VC,13.2833,-61.25,83.01,74,75,15.1,broken clouds
Noumea,NC,-22.2763,166.4572,70.0,99,98,6.89,overcast clouds
Chivilcoy,AR,-34.8957,-60.0167,59.95,65,90,8.01,heavy intensity rain
Dabhol,IN,17.6,73.1667,82.15,79,100,5.99,heavy intensity rain
Yerbogachen,RU,61.2767,108.0108,59.72,54,90,2.91,overcast clouds
Enkoping,SE,59.6361,17.0777,63.95,52,90,9.48,overcast clouds
Mirik,IN,26.8945,88.1848,62.78,88,54,3.4,broken clouds
Requena,ES,39.4883,-1.1004,68.13,55,100,1.68,overcast clouds
Houston,US,29.7633,-95.3633,79.92,91,40,3.0,scattered clouds
Troitsko-Pechorsk,RU,62.7084,56.1964,46.4,62,69,5.64,broken clouds
Ozinki,RU,51.1786,49.6769,73.87,68,93,14.52,overcast clouds
Ladario,BR,-19.0047,-57.6017,75.49,64,0,2.3,clear sky
Tsumeb,NA,-19.2333,17.7167,74.75,13,0,7.07,clear sky
Denpasar,ID,-8.65,115.2167,78.46,94,20,4.0,few clouds
La Paz,BO,-16.5,-68.15,51.78,21,40,5.75,scattered clouds
San Quintin,MX,30.4833,-115.95,60.1,85,21,4.56,few clouds
Tomari,RU,47.7658,142.0683,45.16,95,55,9.69,broken clouds
Korla,CN,41.7597,86.1469,80.47,26,98,14.61,overcast clouds
Aksarka,RU,66.5606,67.7975,41.43,55,100,17.56,light rain
Kruisfontein,ZA,-34.0033,24.7314,60.89,69,20,18.14,few clouds
Hokitika,NZ,-42.7167,170.9667,49.75,73,97,2.98,overcast clouds
Bitkine,TD,11.9801,18.2138,96.31,30,100,13.67,overcast clouds
Thayetmyo,MM,19.3167,95.1833,88.34,57,33,8.1,scattered clouds
Annonay,FR,45.2397,4.6708,79.88,51,100,13.87,overcast clouds
Ende,ID,-8.8432,121.6623,77.36,89,93,3.71,overcast clouds
Tanout,NE,14.9709,8.8879,105.91,5,46,1.99,scattered clouds
Alugan,PH,12.2188,125.4808,82.49,84,81,24.49,broken clouds
La Tuque,CA,47.4334,-72.7824,64.6,53,100,6.87,overcast clouds
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,75.0,94,75,2.35,broken clouds
Caetite,BR,-14.0694,-42.475,81.25,39,8,8.32,clear sky
Novosergiyevka,RU,52.0934,53.6528,75.65,62,100,10.85,moderate rain
Buin,CL,-33.7333,-70.75,65.05,41,100,2.93,overcast clouds
Merauke,ID,-8.4667,140.3333,76.62,86,100,15.05,overcast clouds
Beringovskiy,RU,63.05,179.3167,28.67,90,20,9.06,few clouds
Hopelchen,MX,19.7667,-89.85,79.88,67,88,5.32,overcast clouds
Pedernales,DO,18.0384,-71.744,83.3,63,100,5.75,overcast clouds
Itarema,BR,-2.9248,-39.9167,86.02,61,3,11.95,clear sky
Zaysan,KZ,47.4667,84.8667,72.79,35,9,6.76,clear sky
Jiran,IN,24.3167,74.8833,97.36,22,0,12.57,clear sky
Lerwick,GB,60.1545,-1.1494,53.6,78,11,13.98,few clouds
Byron Bay,AU,-28.65,153.6167,56.88,85,43,4.74,scattered clouds
Fussen,DE,47.8739,12.1695,75.69,37,12,8.5,few clouds
Port Augusta,AU,-32.5,137.7667,63.72,56,14,8.21,few clouds
Bin Qirdan,TN,33.1378,11.2197,82.36,39,98,20.65,overcast clouds
Olafsvik,IS,64.8945,-23.7142,45.86,75,94,16.82,overcast clouds
Businga,CD,3.3333,20.8833,82.29,57,100,0.92,overcast clouds
Neuquen,AR,-38.9516,-68.0591,61.72,54,100,13.87,overcast clouds
Yegorlykskaya,RU,46.5656,40.6562,73.63,72,53,8.46,broken clouds
College,US,64.8569,-147.8028,54.59,88,90,6.91,light rain
Singaraja,ID,-8.112,115.0882,79.56,77,25,3.98,scattered clouds
Svelgen,NO,61.7685,5.2955,77.45,40,13,3.71,few clouds
Awbari,LY,26.5921,12.7805,104.86,10,36,13.85,scattered clouds
Povenets,RU,62.8487,34.8262,58.6,49,64,9.4,broken clouds
Amapa,BR,1.0,-52.0,85.5,64,19,2.8,few clouds
Hovd,MN,48.0056,91.6419,57.49,21,0,6.76,clear sky
Gurkovo,BG,42.6667,25.8,65.3,76,69,11.52,broken clouds
Vrani,RO,45.0383,21.4925,67.89,67,40,3.89,scattered clouds
Kungurtug,RU,50.5994,97.5228,40.44,63,0,1.45,clear sky
Southbridge,US,42.0751,-72.0334,68.47,67,100,5.77,overcast clouds
Quatre Cocos,MU,-20.2078,57.7625,69.91,84,100,10.4,moderate rain
Dubbo,AU,-32.25,148.6167,50.13,81,99,6.91,overcast clouds
Palmer,US,42.1584,-72.3287,66.92,69,90,4.7,overcast clouds
Marsaxlokk,MT,35.8419,14.5431,74.08,73,20,9.22,few clouds
Pontes E Lacerda,BR,-15.2261,-59.3353,84.02,50,64,3.4,broken clouds
Pangai,TO,-19.8,-174.35,73.33,93,100,18.28,heavy intensity rain
Mikhaylov,RU,54.2292,39.0186,60.04,65,93,10.2,overcast clouds
Providencia,MX,28.7167,-111.5833,79.21,55,0,1.9,clear sky
Arman,RU,59.7,150.1667,35.19,100,100,4.47,light rain
Camopi,GF,3.1655,-52.3158,77.49,93,94,1.32,overcast clouds
Peniche,PT,39.3558,-9.3811,68.74,84,88,8.1,overcast clouds
Chochola,MX,20.75,-89.8333,82.99,69,98,6.49,overcast clouds
Ambunti,PG,-4.2365,142.8448,72.95,100,100,0.78,moderate rain
Araouane,ML,18.9048,-3.5265,110.07,5,0,3.15,clear sky
La Primavera,CO,5.4906,-70.4092,73.71,96,100,5.48,overcast clouds
Bhag,PK,29.0415,67.8239,109.42,11,0,10.22,clear sky
Vila,PT,42.0304,-8.1588,66.74,79,99,7.05,overcast clouds
Alice Springs,AU,-23.7,133.8833,65.75,26,66,2.24,broken clouds
Kununurra,AU,-15.7667,128.7333,67.98,77,18,0.0,few clouds
San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,66,20,12.44,few clouds
Hohhot,CN,40.8106,111.6522,64.69,15,0,6.96,clear sky
Berlevag,NO,70.8578,29.0864,49.8,81,75,20.71,broken clouds
Elk Point,US,42.6833,-96.6836,68.14,65,42,3.09,scattered clouds
Potiskum,NG,11.7091,11.0694,102.7,17,88,2.89,overcast clouds
Ariquemes,BR,-9.9133,-63.0408,84.47,55,100,3.56,overcast clouds
Nanakuli,US,21.3906,-158.1547,76.71,83,1,6.08,clear sky
Saldanha,ZA,-33.0117,17.9442,60.17,75,0,10.74,clear sky
Boyolangu,ID,-8.1181,111.8935,74.35,90,24,1.72,few clouds
Egvekinot,RU,66.3167,-179.1667,24.21,82,94,6.62,overcast clouds
Opuwo,NA,-18.0607,13.84,82.96,11,44,5.64,scattered clouds
San Cristobal,VE,7.7669,-72.225,71.78,99,100,3.49,overcast clouds
Malmesbury,ZA,-33.4608,18.7271,64.78,55,1,5.08,clear sky
Kovdor,RU,67.5662,30.4758,56.12,55,70,6.96,broken clouds
Sidi Ali,DZ,36.0998,0.4206,71.26,71,3,18.14,clear sky
Maniitsoq,GL,65.4167,-52.9,37.69,80,36,6.13,scattered clouds
Bulgan,MN,48.8125,103.5347,42.13,46,100,5.77,overcast clouds
Puerto Del Rosario,ES,28.5004,-13.8627,76.68,60,20,16.11,few clouds
Risor,NO,58.7206,9.2342,59.92,63,100,3.96,overcast clouds
Necochea,AR,-38.5473,-58.7368,58.03,66,100,14.99,overcast clouds
Roma,US,43.2128,-75.4557,67.95,57,1,0.0,clear sky
Vrangel,RU,42.7297,133.0839,52.84,97,100,2.98,overcast clouds
Manitouwadge,CA,49.1215,-85.8403,46.18,58,54,6.04,broken clouds
Nouadhibou,MR,20.931,-17.0347,71.58,73,0,23.02,clear sky
Gimli,CA,50.6336,-96.9907,67.42,45,82,5.75,broken clouds
Bluefield,US,37.2698,-81.2223,68.07,73,1,6.91,clear sky
Anloga,GH,5.7947,0.8973,84.38,72,97,13.65,overcast clouds
Preobrazheniye,RU,42.9019,133.9064,52.23,98,100,4.92,overcast clouds
Gornyy,RU,55.1153,83.9059,65.14,64,70,7.58,broken clouds
Waingapu,ID,-9.6567,120.2641,76.26,85,100,2.93,overcast clouds
Turbat,PK,26.0023,63.044,102.69,21,0,15.68,clear sky
General Pico,AR,-35.6566,-63.7568,61.29,55,100,10.6,moderate rain
Lazurne,UA,46.084,32.5295,55.02,87,100,21.27,overcast clouds
Kensington,AU,-33.9167,151.2167,56.79,85,0,8.05,clear sky
Medea,DZ,36.2642,2.7539,77.45,35,100,5.84,overcast clouds
Puerto Madryn,AR,-42.7692,-65.0385,51.89,57,98,22.19,overcast clouds
Forio,IT,40.7342,13.8646,77.25,63,3,9.57,clear sky
Puerto Penasco,MX,31.3167,-113.5333,70.92,56,71,4.0,broken clouds
Sola,VU,-13.8833,167.55,79.77,78,55,23.58,broken clouds
Berbera,SO,10.4396,45.0143,90.46,62,11,9.93,few clouds
Dali,CN,25.7,100.1833,66.56,77,23,5.95,few clouds
Coihueco,CL,-36.6167,-71.8333,56.14,100,90,8.86,overcast clouds
Kajaani,FI,64.2273,27.7285,66.25,37,0,8.05,clear sky
Dharchula,IN,29.85,80.5333,67.35,87,96,3.58,overcast clouds
Khuzdar,PK,27.7384,66.6434,97.47,4,0,7.4,clear sky
Leshukonskoye,RU,64.8989,45.7622,49.06,34,82,11.9,broken clouds
Gazli,UZ,40.1333,63.45,103.41,9,5,13.65,clear sky
Abu Kamal,SY,34.4506,40.9171,96.46,12,0,4.54,clear sky
Nadym,RU,65.5333,72.5167,57.76,36,68,18.63,broken clouds
Temiscaming,CA,46.7212,-79.0971,65.71,48,50,4.61,scattered clouds
Jiaozuo,CN,35.2397,113.2331,78.35,49,100,4.21,light rain
Grand Gaube,MU,-20.0064,57.6608,70.2,83,100,13.96,light rain
Ucluelet,CA,48.9329,-125.5528,61.09,92,75,3.85,broken clouds
Luoyang,CN,34.6836,112.4536,76.1,60,100,5.48,light rain
Gidam,IN,18.9833,81.4,87.12,50,78,1.72,broken clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,77,96,10.36,overcast clouds
Vanino,RU,49.0869,140.2543,45.16,85,8,1.28,clear sky
Rawson,AR,-43.3002,-65.1023,50.54,62,33,21.32,scattered clouds
Port Lavaca,US,28.615,-96.6261,72.05,90,90,9.22,moderate rain
Kieta,PG,-6.2167,155.6333,79.65,87,99,6.6,light rain
Las Margaritas,MX,16.3167,-91.9833,67.91,65,55,7.29,broken clouds
Lakes Entrance,AU,-37.8811,147.981,45.57,59,100,4.79,overcast clouds
Antofagasta,CL,-23.65,-70.4,69.22,54,1,3.29,clear sky
Superior,US,46.7208,-92.1041,69.01,65,1,0.0,clear sky
Vilyuysk,RU,63.7553,121.6247,54.95,53,100,0.76,overcast clouds
Mbandaka,CD,0.0487,18.2603,84.2,56,92,1.39,overcast clouds
Pundaguitan,PH,6.3711,126.1689,83.32,74,100,8.48,overcast clouds
Kenai,US,60.5544,-151.2583,49.03,93,90,3.44,light rain
Teya,RU,60.3778,92.6267,61.65,43,100,7.56,overcast clouds
Vanimo,PG,-2.6741,141.3028,76.08,91,100,7.25,overcast clouds
Caucaia,BR,-3.7361,-38.6531,88.07,68,40,10.98,scattered clouds
Vestmanna,FO,62.1564,-7.1664,47.32,81,90,27.16,overcast clouds
Ola,RU,59.5833,151.2833,35.37,99,100,1.66,light rain
Yacuiba,BO,-22.038,-63.6797,68.77,56,4,0.0,clear sky
Turiacu,BR,-1.6633,-45.3717,87.39,58,3,4.85,clear sky
La Ronge,CA,55.1001,-105.2842,61.05,63,20,4.61,few clouds
Margate,GB,51.3813,1.3862,76.32,76,0,12.64,clear sky
Homnabad,IN,17.7667,77.1333,91.65,40,44,9.1,scattered clouds
Arecibo,PR,18.4724,-66.7157,87.19,75,99,1.99,overcast clouds
Macomb,US,40.4592,-90.6718,64.18,88,75,4.61,broken clouds
Ushtobe,KZ,45.2514,77.9838,84.31,20,0,6.55,clear sky
Tevaitoa,PF,-16.7833,-151.5,78.62,75,100,14.9,overcast clouds
Palkonda,IN,18.6,83.75,88.3,64,59,6.44,broken clouds
Praia Da Vitoria,PT,38.7333,-27.0667,66.45,55,40,16.22,scattered clouds
Polovinnoye,RU,54.7914,65.9864,63.39,38,28,7.25,scattered clouds
Klaeng,TH,12.7797,101.6483,90.95,90,12,4.81,few clouds
Sambava,MG,-14.2667,50.1667,77.79,70,1,12.08,clear sky
Anito,PH,12.4497,125.2886,81.52,89,94,18.77,overcast clouds
Boddam,GB,57.4667,-1.7833,71.38,85,7,13.06,clear sky
Mahemdavad,IN,22.8333,72.7667,97.05,38,1,15.66,clear sky
Vyazemskiy,RU,47.5378,134.7525,55.76,86,100,4.7,overcast clouds
Nantucket,US,41.2835,-70.0995,68.11,77,1,10.36,clear sky
Kadhan,PK,24.481,68.9859,88.07,67,0,20.15,clear sky
Booue,GA,-0.0921,11.9385,84.13,68,100,4.38,overcast clouds
Karla,EE,59.3723,24.9275,64.15,56,0,12.66,clear sky
Puerto Cabezas,NI,14.0351,-83.3888,85.96,70,75,4.61,broken clouds
Marienburg,PL,54.0359,19.0266,60.76,71,100,5.3,overcast clouds
Rafai,CF,4.95,23.9167,85.82,53,100,3.62,overcast clouds
Liverpool,GB,53.4106,-2.9779,77.9,42,0,10.4,clear sky
Umm Kaddadah,SD,13.6017,26.6876,107.64,9,49,15.93,scattered clouds
Kaeo,NZ,-35.1,173.7833,48.33,93,4,4.25,clear sky
Visby,SE,57.6409,18.296,59.86,71,75,18.41,broken clouds
Rio Grande,BR,-32.035,-52.0986,67.95,59,66,10.67,broken clouds
Kanniyakumari,IN,8.0833,77.5667,81.59,80,12,21.03,few clouds
Marquette,US,46.5333,-87.6335,60.24,71,65,1.63,broken clouds
Mpraeso,GH,6.5932,-0.7346,83.17,56,100,6.15,overcast clouds
Bathsheba,BB,13.2167,-59.5167,86.61,51,40,13.89,scattered clouds
